Ime,Država,Spodnja višina [m],Zgornja višina [m],Dolžina prog [km],Dolžina črnih prog [km],Dolžina modrih prog [km],Število žičnic,Cena [€]
Super Sauze,Francija,1400,2450,65,10,35,19,38
Sainte-Foy-Tarentaise,Francija,1550,2620,43,6,10,6,40
Les Karellis,Francija,1550,2482,60,9,26,17,34
Courmayeur – Chécrouit/Val Veny,Italija,1205,2755,41.5,4,16,18,67
Melchsee-Frutt (Kerns),Švica,1080,2255,36,10,20,15,63
Feuerkogel – Ebensee,Avstrija,443,1648,10.6,1,6.5,8,56.60
Monte Popolo – Eben im Pongau,Avstrija,875,1601,6,0,4,4,53.50
Buchensteinwand (Pillersee) – St. Ulrich am Pillersee/St. Jakob in Haus/Hochfilzen,Avstrija,855,1456,21.2,3,8,9,47
Praz de Lys/Sommand (Taninges/Mieussy),Francija,1240,1966,72,8,38,23,35
Charmey,Švica,875,1626,30,3,19.5,5,49
St. Jean Montclar,Francija,1325,2450,50,5,25,10,32.50
Vercorin,Švica,1340,2374,35,3,13,10,64
Nordkette – Innsbruck,Avstrija,860,2256,13.9,0.4,0.5,6,52
Vals – Dachberg,Švica,1286,2851,25,5,5,6,41
Götschen – Bischofswiesen,Nemčija,880,1280,8.7,4,2.9,3,30
Jungholz,Avstrija,1058,1500,10,0,7,7,42
Gschwandtkopf – Seefeld,Avstrija,1200,1500,6.4,0,6.4,10,55
Kanin – Sella Nevea/Bovec,Slovenija,1103,2292,30,2,6,10,44
Sörenberg – Rothorn/Dorf,Švica,1110,2298,42,8,24,14,62
Mythenregion,Švica,1070,1593,50,1,18,17,52
Ovronnaz,Švica,1400,2427,30,5,5,7,65
Nara – Leontica,Švica,925,2123,30,5,10,7,45
Le Seignus,Francija,1500,2426,50,5,25,8,34
Oberaudorf – Hocheck,Nemčija,490,852,8,1,3,7,29.50
Zauberberg Semmering,Avstrija,985,1350,14,1,6.5,2,54
Lagorai/Passo Brocon – Castello Tesino,Italija,1598,2050,10.4,0.3,4.8,4,45
Stuhleck – Spital am Semmering,Avstrija,777,1774,25.9,0,20,11,62.50
Mariborsko Pohorje – Maribor,Slovenija,328,1327,35,3,20,13,45
Glacier 3000 – Les Diablerets,Švica,1343,3016,31,11,14.5,11,84
La Berra – La Roche,Švica,1040,1636,25,0,5,6,44
Innerkrems – Kremsbrücke (Krems in Kärnten),Avstrija,1550,2200,36,2,7,9,44
Leukerbad,Švica,1411,2610,47.5,17,3.5,13,69
Hochstein – Lienz,Avstrija,668,1988,12,4.2,0.5,4,67
Bosco Gurin – Grossalp,Švica,1482,2331,30,4,1,7,61
Markbachjoch/Lanerköpfl – Niederau,Avstrija,825,1560,24,6,6,12,68.50
Klewenalp/Stockhütte – Beckenried/Emmetten,Švica,1199,1938,40,0,15,15,62
Tschiertschen,Švica,1350,2381,32,3,15,4,65
Piani di Bobbio,Italija,1340,1950,35,10,15,12,45
Alpe du Grand-Serre – La Morte,Francija,1367,2184,55,2,36,14,32
